IBRA - Carteira do Dia 26/08/25
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
BEEF3;MINERVA;ON  ATZ NM;433.214.256;0,108;
MOTV3;MOTIVA SA;ON      NM;991.920.937;0,589;
MDNE3;MOURA DUBEUX;ON      NM;51.943.755;0,057;
MOVI3;MOVIDA;ON      NM;121.834.637;0,037;
MRVE3;MRV;ON  ATZ NM;375.507.695;0,123;
MLAS3;MULTILASER;ON      NM;386.245.397;0,016;
MULT3;MULTIPLAN;ON      N2;314.311.970;0,362;
NATU3;NATURA;ON      NM;845.713.747;0,324;
NEOE3;NEOENERGIA;ON      NM;195.036.523;0,224;
OPCT3;OCEANPACT;ON      NM;126.724.185;0,036;
ODPV3;ODONTOPREV;ON      NM;252.219.521;0,141;
ONCO3;ONCOCLINICAS;ON      NM;573.410.284;0,074;
ORVR3;ORIZON;ON      NM;47.022.111;0,109;
PCAR3;P.ACUCAR-CBD;ON      NM;461.260.303;0,070;
PGMN3;PAGUE MENOS;ON      NM;196.817.622;0,031;
PETR3;PETROBRAS;ON  EDJ N2;3.483.155.534;4,962;
PETR4;PETROBRAS;PN  EDJ N2;4.410.955.873;5,825;
RECV3;PETRORECSA;ON      NM;274.981.010;0,155;
PRIO3;PETRORIO;ON      NM;779.999.989;1,283;
PETZ3;PETZ;ON      NM;295.519.280;0,050;
PLPL3;PLANOEPLANO;ON      NM;54.539.741;0,031;
PSSA3;PORTO SEGURO;ON      NM;182.560.698;0,405;
POSI3;POSITIVO TEC;ON      NM;72.725.303;0,013;
PRNR3;PRINER;ON      NM;55.724.049;0,037;
QUAL3;QUALICORP;ON      NM;278.971.994;0,022;
LJQQ3;QUERO-QUERO;ON      NM;195.546.894;0,021;
RADL3;RAIADROGASIL;ON      NM;1.297.567.800;1,012;
RAIZ4;RAIZEN;PN  ATZ N2;1.210.756.333;0,055;
RAPT4;RANDON PART;PN      N1;176.650.127;0,050;
RCSL3;RECRUSUL;ON;1.374.716;0,000;
RDOR3;REDE D OR;ON      NM;1.145.289.019;1,853;
RAIL3;RUMO S.A.;ON      NM;1.216.914.397;0,766;
SBSP3;SABESP;ON      NM;683.495.706;3,516;
SAPR11;SANEPAR;UNT     N2;201.077.484;0,293;
SANB11;SANTANDER BR;UNT;356.586.730;0,420;
STBP3;SANTOS BRP;ON      NM;409.543.219;0,251;
SMTO3;SAO MARTINHO;ON      NM;128.130.966;0,094;
SEER3;SER EDUCA;ON      NM;52.255.107;0,019;
SRNA3;SERENA;ON      NM;417.646.827;0,218;
CSNA3;SID NACIONAL;ON;727.459.637;0,227;
SIMH3;SIMPAR;ON      NM;227.030.128;0,045;
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,144;
SMFT3;SMART FIT;ON      NM;328.547.988;0,336;
SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,452;
SYNE3;SYN PROP TEC;ON      NM;59.381.237;0,017;
TAEE11;TAESA;UNT EDJ N2;218.568.234;0,319;
TASA4;TAURUS ARMAS;PN      N2;73.694.380;0,015;
TGMA3;TEGMA;ON      NM;32.001.079;0,051;
VIVT3;TELEF BRASIL;ON  EJ;764.884.256;1,146;
TEND3;TENDA;ON      NM;120.609.176;0,110;
TIMS3;TIM;ON      NM;806.346.600;0,795;
TOTS3;TOTVS;ON      NM;531.531.039;0,969;
TUPY3;TUPY;ON      NM;143.716.238;0,092;
UGPA3;ULTRAPAR;ON  ED  NM;1.089.082.981;0,840;
UNIP6;UNIPAR;PNB;50.800.579;0,136;
USIM5;USIMINAS;PNA     N1;515.193.199;0,093;
VALE3;VALE;ON      NM;4.270.903.023;10,106;
VLID3;VALID;ON      NM;76.026.408;0,068;
VAMO3;VAMOS;ON      NM;485.166.826;0,081;
VBBR3;VIBRA;ON      NM;1.113.939.036;1,035;
VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,148;
VVEO3;VIVEO;ON      NM;178.485.735;0,007;
VULC3;VULCABRAS;ON  ED  NM;94.135.247;0,081;
WEGE3;WEG;ON      NM;1.482.105.837;2,409;
PORT3;WILSON SONS;ON      NM;185.687.654;0,144;
YDUQ3;YDUQS PART;ON      NM;260.249.057;0,146;
Quantidade Teórica Total;;;108.843.893.382;100,000
Redutor;;;425.414.088,19404784
